"warno","statenum","stateabb","yrbeg1","monbeg1","daybeg1","yrend1","monend1","dayend1","yrbeg2","monbeg2","daybeg2","yrend2","monend2","dayend2","duration","deaths","outcome","initiate","sysstat","prwarpop","prwararm","westhem","europe","africa","mideast","asia","oceania","version","warname","censubsy","subsysea","majpowin","majpowea","edition","pbdeadlow","pbdeadhigh","pbdeadbest","tbdeadlow","tbdeadhigh","tbdeadbest"
"145","220","FRN","1940","12","1","1941","1","22","-999","-999","-999","-999","-999","-999","53","700","2","0","1","41726","5000","0","0","0","0","1","0","3","Franco-Thai","0","0","1","0","1","65","700","65","130","1400","765"
"145","800","THI","1940","12","1","1941","1","22","-999","-999","-999","-999","-999","-999","53","700","1","1","1","15296","-999","0","0","0","0","1","0","3","Franco-Thai","0","0","1","0","1","65","700","700","130","1400","765"
"147","770","PAK","1948","7","17","1949","1","1","-999","-999","-999","-999","-999","-999","169","1000","4","0","1","73600","265","0","0","0","0","1","0","3","First Kashmir","0","0","0","0","4","1000","6000","6000","2000","7500","7500"
"147","750","IND","1948","7","17","1949","1","1","-999","-999","-999","-999","-999","-999","169","1000","3","1","1","349430","321","0","0","0","0","1","0","3","First Kashmir","0","0","0","0","4","1000","1500","1500","2000","7500","7500"
"148","645","IRQ","1948","5","15","1948","7","18","1948","10","22","1948","10","31","75","500","2","1","1","4965","31","0","0","0","1","0","0","3","Palestine","0","0","0","0","0","500","500","500","21111","21111","21111"
"148","651","EGY","1948","5","15","1948","7","18","1948","10","22","1949","1","7","143","2000","2","1","1","19494","64","0","0","0","1","0","0","3","Palestine","0","0","0","0","0","1500","1500","1500","21111","21111","21111"
"148","652","SYR","1948","5","15","1948","7","18","1948","10","22","1948","10","31","75","1000","2","1","1","3268","8","0","0","0","1","0","0","3","Palestine","0","0","0","0","0","1000","1000","1000","21111","21111","21111"
"148","660","LEB","1948","5","15","1948","7","18","1948","10","22","1948","10","31","75","500","2","1","1","1391","3","0","0","0","1","0","0","3","Palestine","0","0","0","0","0","500","500","500","21111","21111","21111"
"148","663","JOR","1948","5","15","1948","7","18","1948","10","22","1948","10","31","75","1000","2","1","1","1163","8","0","0","0","1","0","0","3","Palestine","0","0","0","0","0","1000","1000","1000","21111","21111","21111"
"148","666","ISR","1948","5","15","1948","7","18","1948","10","22","1949","1","7","143","3000","1","0","1","717","85","0","0","0","1","0","0","3","Palestine","0","0","0","0","0","6074","6074","6074","21111","21111","21111"
